Date,Open,High,Low,Close,Volume,Market Cap
4/1/2014,468.48,491.27,468.48,479.02,62894.68,30128027.04
4/2/2014,479.68,494.11,430.73,438.38,96314.59,42222179.29
4/3/2014,437.32,452.44,414.81,446.82,74292.75,33195468.16
4/4/2014,448.6,457.33,429.18,451.65,39267.67,17735084.59
4/5/2014,450.03,466.39,445.11,464.38,21574.14,10018586.62
4/6/2014,465.89,472.37,450.6,462.22,16624.9,7684292.36
4/7/2014,462.12,465.24,443.34,448.45,28631.53,12839883.72
4/8/2014,446.74,463.63,444.78,452.47,18306.71,8283322.96
4/9/2014,452.17,464.31,440.37,449.89,23268.96,10468523.63
4/10/2014,448.9,449.19,356.46,362.65,134882.34,48914696.11
4/11/2014,361.49,429.61,347.03,420.35,131394.42,55231538.14
4/12/2014,420.63,443.3,414.86,420.52,39940.05,16795653.14
4/13/2014,420.93,432.49,393.16,413.61,47527.56,19657653.38
4/14/2014,414.34,470.66,406.4,458.22,94204.26,43166289.38
4/15/2014,457.23,525.51,453.54,520.87,88758.5,46231533.12
4/16/2014,520.17,546.61,493.96,527.86,88795.39,46871183.16
4/17/2014,530.1,534.21,482.63,496.09,56110.24,27835946.26
4/18/2014,496.45,500.57,470.32,479.6,32084.63,15387825.61
4/19/2014,479.49,507.23,469.85,500.76,30582.04,15314342.13
4/20/2014,501.82,513.38,490.37,498.32,16441.33,8192997.51
4/21/2014,497.32,511,491.1,494.01,23657.4,11686908.43
4/22/2014,493.63,517.15,484.59,486.01,19234.24,9348001.99
4/23/2014,485.86,502.55,483.47,490.45,14675.5,7197667.45
4/24/2014,490.52,515.39,479.37,500.52,19304.12,9662147.18
4/25/2014,500.88,512.6,443.35,462.27,83702.84,38693537.73
4/26/2014,462.7,468.12,449.21,458.35,21773.66,9979893.04
4/27/2014,458.36,469.51,436.69,437.94,19907.94,8718401.46
4/28/2014,429.54,448.5,423.26,440.59,45099.86,19870567.85
4/29/2014,440.44,464.55,433.86,447.56,28619.21,12808671.6
4/30/2014,447.2,464.03,436.06,448.65,26388.74,11839271.66
5/1/2014,446.83,462.9,446.83,461.11,22765.77,10497491.85
5/2/2014,460.68,467.68,443.24,449.86,18786.8,8451396.74
5/3/2014,449.88,454.5,432.23,437.98,19124.77,8376273.22
5/4/2014,438.46,440.05,429.76,435.4,10318.01,4492501.52
5/5/2014,434.63,441.82,426,431.56,18653.16,8049986.55
