Date,Open,High,Low,Close,Volume,Market Cap
1/25/2019,0.3161615,0.32035439,0.31393956,0.31721188,56749062.46,18001476.82
1/24/2019,0.31657674,0.31866082,0.31386293,0.31596063,57349946.01,18120325.31
1/23/2019,0.31973862,0.32088959,0.31491605,0.31675758,51498367.26,16312498.28
1/22/2019,0.32055504,0.3217078,0.31295311,0.31962873,65932377.14,21073882.25
1/21/2019,0.32193978,0.32481745,0.31665377,0.32048076,46482559.13,14896766.08
1/20/2019,0.33269216,0.33432834,0.31976241,0.32177611,63595495.92,20463511.25
1/19/2019,0.32333786,0.3344381,0.32333786,0.33303174,68925478.77,22954371.96
1/18/2019,0.32856549,0.3295867,0.32255743,0.32328355,55283375.06,17872205.85
1/17/2019,0.32727816,0.3292758,0.32427207,0.32894033,59477334.33,19564493.92
1/16/2019,0.32674285,0.33337375,0.32550255,0.32720877,73195344.95,23950158.48
1/15/2019,0.3351509,0.3371096,0.32372091,0.32694463,77403039.43,25306508.27
1/14/2019,0.31782533,0.33766767,0.31619725,0.33543045,97084153.46,32564981.4
1/13/2019,0.33401995,0.34206922,0.31472504,0.31743597,74772701.68,23735545.18
1/12/2019,0.33601708,0.33845342,0.33393468,0.33394875,55617725.88,18573470.31
1/11/2019,0.33248177,0.33846027,0.32955887,0.33543372,77088298.83,25858014.54
1/10/2019,0.36957378,0.38241883,0.32880024,0.33314083,197020805.4,65635674.31
1/9/2019,0.36513758,0.37284069,0.3635909,0.37172873,93058027.69,34592342.22
1/8/2019,0.36690627,0.37004242,0.36048559,0.36517726,84015158.29,30680425.55
1/7/2019,0.36912501,0.37715244,0.36417932,0.36647218,69320444.56,25404014.1
1/6/2019,0.35533939,0.37159196,0.35383673,0.36910833,90945138.64,33568607.83
1/5/2019,0.36168545,0.36566812,0.35378784,0.35562807,85028672.41,30238582.94
1/4/2019,0.35925201,0.36318482,0.35296028,0.36186493,67990597.56,24603412.6
1/3/2019,0.37600046,0.37615659,0.35643446,0.35917649,78526998.78,28205051.72
1/2/2019,0.36607772,0.38079097,0.36109374,0.37663824,87285381.57,32875012.32
1/1/2019,0.35701799,0.36563336,0.35080516,0.36563336,76496282.12,27969592.57
12/31/2018,0.37141637,0.37413195,0.35504976,0.35651185,104048542.5,37094538.88
12/30/2018,0.36793524,0.37123117,0.36298719,0.37104555,86349455.98,32039581.28
12/29/2018,0.37981924,0.38799313,0.36715379,0.36715379,105980086.6,38910990.97
12/28/2018,0.33975882,0.38034063,0.33854304,0.37788979,126553785.5,47823383.23
12/27/2018,0.38130495,0.38156627,0.33727917,0.33941545,94373730.79,32031902.12
12/26/2018,0.38467019,0.3939118,0.3653233,0.38022889,106285095.4,40412663.46
12/25/2018,0.4110804,0.41109489,0.37211497,0.38253905,120589064.9,46130026.08
12/24/2018,0.37551333,0.45078705,0.37551333,0.40767683,246947034,100674583.2
12/23/2018,0.36394904,0.38342098,0.3623855,0.37526763,93616999.39,35131429.28
12/22/2018,0.36020226,0.3640857,0.35096323,0.36400239,84350253.21,30703694.01
12/21/2018,0.37974837,0.3861922,0.3563481,0.36038635,125026504.1,45057845.23
12/20/2018,0.35322065,0.39130133,0.34935099,0.38038025,186648228.9,70997300.64
12/19/2018,0.35203663,0.39313964,0.35017812,0.35512019,202028116.4,71744262.94
12/18/2018,0.33016955,0.34995568,0.32776985,0.34979502,134000635.1,46872754.47
12/17/2018,0.28872729,0.33558508,0.28668572,0.32986037,143794602.7,47432140.88
12/16/2018,0.28544023,0.29447282,0.28443348,0.28852071,64119850.3,18499904.71
12/15/2018,0.28914339,0.29092818,0.28222864,0.28547168,68571341.19,19575175.82
12/14/2018,0.30139459,0.30148006,0.28443375,0.28891217,86741349.43,25060631.79
12/13/2018,0.30711402,0.3082049,0.29989564,0.30109382,75621958.12,22769304.05
12/12/2018,0.29601433,0.31041341,0.29516681,0.30674415,74241285.27,22773080.14
12/11/2018,0.30164158,0.30803673,0.29256142,0.29592978,80479343.72,23816234.12
12/10/2018,0.31213102,0.31533756,0.29868735,0.30165394,93172747.01,28105926.11
12/9/2018,0.30789854,0.32045942,0.30303066,0.31266375,77325490.36,24176878.14
12/8/2018,0.30553011,0.32266239,0.29511336,0.30985566,113254912.7,35092675.44
12/7/2018,0.31254753,0.31389638,0.29402026,0.30519531,184257621.9,56234562.46
12/6/2018,0.33663937,0.34393274,0.31119275,0.31158716,141577245.7,44113652.42
12/5/2018,0.35552112,0.35599875,0.33749262,0.3380464,107957114.6,36494514.26
12/4/2018,0.35235363,0.36412221,0.3484885,0.35477985,98316234.78,34880619.02
12/3/2018,0.37029394,0.37069801,0.35074881,0.35276196,112646117.8,39737265.15
12/2/2018,0.37480168,0.38065749,0.3682922,0.36949322,70522901.44,26057733.64
12/1/2018,0.36553055,0.37913526,0.36051473,0.37480442,75670674.6,28361703.18
11/30/2018,0.38191509,0.38286557,0.35978696,0.36505524,103588307.7,37815454.66
11/29/2018,0.39114729,0.39277256,0.37402951,0.38126761,134497046.3,51279367.5
11/28/2018,0.36306371,0.40069958,0.36306371,0.390685,156051400.6,60966941.65
11/27/2018,0.35910465,0.37023453,0.34578265,0.36275038,133340229,48369218.36
11/26/2018,0.37536349,0.38812113,0.34406061,0.35935633,242888317.4,87283455.08
11/25/2018,0.37005546,0.38481842,0.32128353,0.37656586,481556069.3,181337576.8
11/24/2018,0.40506431,0.41497517,0.36066008,0.37096303,386798545.7,143487962.2
11/23/2018,0.41931007,0.42252149,0.39369133,0.40515369,370498172.3,150108700.2
11/22/2018,0.44356815,0.44585314,0.42135672,0.42135972,301909835.3,127212642.5
11/21/2018,0.43304155,0.45665902,0.41338303,0.44469748,377881619.7,168043005.1
11/20/2018,0.4722281,0.495651,0.41463941,0.43105847,566594926.1,244235542.3
11/19/2018,0.50851175,0.50851175,0.46647039,0.47348841,437824369.9,207304764.4
11/18/2018,0.48860979,0.51847266,0.48736715,0.50820995,337923004.5,171735832.3
11/17/2018,0.46798721,0.49369408,0.46264307,0.48868322,308176084,150600481.3
11/16/2018,0.4781305,0.4816854,0.46026887,0.46809353,326625855.3,152891448.6
11/15/2018,0.46653076,0.48270962,0.4246427,0.48270962,436452498.8,210679819.8
11/14/2018,0.50512429,0.50587207,0.41363262,0.46329309,489890367.1,226962822.5
11/13/2018,0.51486582,0.52130126,0.50095018,0.50547834,339072486.3,171393796.6
11/12/2018,0.50349236,0.52474609,0.49798462,0.5152308,332028829.6,171071479.1
11/11/2018,0.50301301,0.50527105,0.49351873,0.50278356,287490905.3,144545700.9
11/10/2018,0.49749477,0.50755071,0.49732448,0.50273499,294699638.3,148155818.3
11/9/2018,0.49080727,0.51298397,0.49013307,0.49686548,331535095.5,164728343.7
11/8/2018,0.53513651,0.53870911,0.48847638,0.49030653,380137905.3,186384096.7
11/7/2018,0.54982635,0.54982635,0.52453282,0.53413104,341924995.5,182632752.7
11/6/2018,0.49674044,0.56091562,0.49674044,0.54973305,478492238.6,263042995.9
11/5/2018,0.46633436,0.49642831,0.46063464,0.49642831,358931075.4,178183548.3
11/4/2018,0.45347144,0.47029852,0.44773674,0.46680118,319557100.6,149169631.6
11/3/2018,0.45664973,0.45792735,0.45126345,0.45366249,277103348.6,125711395.9
11/2/2018,0.45688004,0.46168771,0.45323604,0.45667308,326474096.4,149091932.6
11/1/2018,0.45085803,0.45707624,0.44723656,0.45528102,302056890.3,137520769.5
10/31/2018,0.44342243,0.45208742,0.43553556,0.4510476,309711702.1,139694720.9
10/30/2018,0.44044685,0.44809749,0.43961832,0.44386859,296037178.3,131401604.7
10/29/2018,0.4599048,0.4599204,0.43088105,0.43998462,334025752,146966194.5
10/28/2018,0.4546884,0.46057221,0.45306673,0.45952023,284901858.8,130918167
