timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-25,32.73385779,33.13011814,32.17901236,32.94116249,32.73385779,33.13011814,32.17901236,32.94116249,1754246.69073415,57786925.29523793
2019-01-24,31.93400596,32.95496505,31.39863320,32.71206188,31.93400596,32.95496505,31.39863320,32.71206188,1786512.68931917,58440513.64456151
2019-01-23,31.74085625,32.34872207,31.61584233,31.91041201,31.74085625,32.34872207,31.61584233,31.91041201,1603491.71614945,51168081.32369729
2019-01-22,31.06555470,32.06357431,30.19640763,31.74856200,31.06555470,32.06357431,30.19640763,31.74856200,1906567.14893040,60530765.34176488
2019-01-21,30.94936525,31.37137298,30.84820308,31.06551549,30.94936525,31.37137298,30.84820308,31.06551549,1571262.15406055,48812068.79017845
2019-01-20,32.55546180,33.32727742,30.78876128,30.93178463,32.55546180,33.32727742,30.78876128,30.93178463,1843512.73488306,57023138.87713750
2019-01-19,31.33157820,33.11021376,31.33157820,32.56435558,31.33157820,33.11021376,31.33157820,32.56435558,1355743.79979473,44148923.16940672
2019-01-18,31.98718280,32.02776075,31.15471299,31.30780854,31.98718280,32.02776075,31.15471299,31.30780854,1179733.74646832,36934878.26664708
2019-01-17,31.89639926,32.01296129,30.74054193,31.97820462,31.89639926,32.01296129,30.74054193,31.97820462,1204567.27659852,38519898.85383782
2019-01-16,31.50926980,32.30010358,31.28310114,31.93765191,31.50926980,32.30010358,31.28310114,31.93765191,1090428.53252257,34825726.89907268
2019-01-15,32.49935187,32.75899687,31.18554330,31.49434154,32.49935187,32.75899687,31.18554330,31.49434154,1206878.74493164,38009851.38950518
2019-01-14,30.42238458,32.91251086,30.31116152,32.50571074,30.42238458,32.91251086,30.31116152,32.50571074,1151898.52682774,37443280.31970849
2019-01-13,32.35792292,33.22197519,30.15369265,30.36408218,32.35792292,33.22197519,30.15369265,30.36408218,1001564.40552484,30411583.92155992
2019-01-12,32.51936621,32.99985442,32.04588676,32.38738085,32.51936621,32.99985442,32.04588676,32.38738085,701175.70995248,22709244.76190780
2019-01-11,33.82442316,34.09022514,32.32912247,32.49732502,33.82442316,34.09022514,32.32912247,32.49732502,1089824.76559256,35416389.62046320
2019-01-10,39.32516188,39.87974495,32.99678921,33.94197078,39.32516188,39.87974495,32.99678921,33.94197078,1618405.96902220,54931888.11854598
2019-01-09,39.76690322,40.63843588,39.21124104,39.35943342,39.76690322,40.63843588,39.21124104,39.35943342,946874.79208608,37268455.33982492
2019-01-08,38.29482824,41.37572521,38.29482824,39.74979525,38.29482824,41.37572521,38.29482824,39.74979525,1333768.91309760,53017041.20429436
2019-01-07,39.66129035,40.00509593,38.02061548,38.21098569,39.66129035,40.00509593,38.02061548,38.21098569,1012395.54454975,38684631.66119945
2019-01-06,35.21178428,40.31026409,35.06853024,39.70134733,35.21178428,40.31026409,35.06853024,39.70134733,1720317.91617026,68298939.10543461
2019-01-05,32.58187119,36.33759176,32.55869590,35.19315655,32.58187119,36.33759176,32.55869590,35.19315655,1315147.16144248,46284179.94219464
2019-01-04,32.32477133,33.22923933,31.73429497,32.67598330,32.32477133,33.22923933,31.73429497,32.67598330,837253.85196694,27358092.88055786
2019-01-03,33.51480532,33.66296000,31.86345074,32.32405700,33.51480532,33.66296000,31.86345074,32.32405700,816591.19410566,26395540.30159766
2019-01-02,32.01173385,33.90042453,31.78719672,33.73034637,32.01173385,33.90042453,31.78719672,33.73034637,844173.67502587,28474270.45361662
2019-01-01,30.37495625,32.11811969,30.09474644,31.95511125,30.37495625,32.11811969,30.09474644,31.95511125,773494.14425303,24717091.42976772
2018-12-31,32.34382194,32.39085121,30.10218343,30.37345014,32.34382194,32.39085121,30.10218343,30.37345014,934964.82084952,28398107.37168158
2018-12-30,31.97712980,32.66404940,31.52109406,32.32808487,31.97712980,32.66404940,31.52109406,32.32808487,855506.06434941,27656872.65222510
2018-12-29,32.70770090,33.69092768,31.91175083,32.16763132,32.70770090,33.69092768,31.91175083,32.16763132,939315.35807164,30215550.13241565
2018-12-28,28.40590005,33.45111907,28.40590005,32.57616078,28.40590005,33.45111907,28.40590005,32.57616078,1122026.16529510,36551304.76284194
2018-12-27,31.19024128,31.51670916,28.25555716,28.41565596,31.19024128,31.51670916,28.25555716,28.41565596,889643.90180822,25279815.03819638
2018-12-26,31.45059401,32.50711532,29.81739500,31.11788184,31.45059401,32.50711532,29.81739500,31.11788184,975979.95349686,30370428.87498710
2018-12-25,33.71454253,33.71454253,30.54571232,31.40280094,33.71454253,33.71454253,30.54571232,31.40280094,1073969.20427390,33725641.13707058
2018-12-24,33.89740071,36.93076410,33.50480971,33.50480971,33.89740071,36.93076410,33.50480971,33.50480971,1436547.73846999,48131258.61275221
2018-12-23,32.31267179,34.48657054,32.30331845,33.90110147,32.31267179,34.48657054,32.30331845,33.90110147,966695.80569345,32772052.59684880
2018-12-22,30.96399083,32.28624216,30.48329470,32.28624216,30.96399083,32.28624216,30.48329470,32.28624216,750786.86713567,24240086.60006188
2018-12-21,33.04540894,33.50700508,30.49733754,30.99599939,33.04540894,33.50700508,30.49733754,30.99599939,1256679.11069625,38952024.94517477
2018-12-20,29.70167623,33.34425466,29.58359648,33.05662496,29.70167623,33.34425466,29.58359648,33.05662496,1605108.15989789,53059458.45629160
2018-12-19,30.09981489,31.87980742,29.48512211,29.77996413,30.09981489,31.87980742,29.48512211,29.77996413,1510484.66501898,44982179.13877278
2018-12-18,29.29124612,30.03064865,28.20930453,29.97458302,29.29124612,30.03064865,28.20930453,29.97458302,1064358.69366860,31903708.02290828
2018-12-17,25.65659288,30.53282103,25.65659288,29.27922644,25.65659288,30.53282103,25.65659288,29.27922644,1626810.35746985,47631748.82427122
2018-12-16,23.76425190,26.66498112,23.74914090,25.55972693,23.76425190,26.66498112,23.74914090,25.55972693,1316469.00997495,33648588.40142558
2018-12-15,23.32077846,24.01177727,23.20039751,23.77398195,23.32077846,24.01177727,23.20039751,23.77398195,709222.63334006,16861046.08460134
2018-12-14,23.22452194,23.67832290,22.78912538,23.28747425,23.22452194,23.67832290,22.78912538,23.28747425,850321.80371417,19801847.10999785
2018-12-13,24.61048301,24.67765939,23.14020696,23.22285580,24.61048301,24.67765939,23.14020696,23.22285580,763733.44606251,17736071.69108790
2018-12-12,23.92147112,25.21981618,23.81726640,24.58560029,23.92147112,25.21981618,23.81726640,24.58560029,820269.29763207,20166813.07909158
2018-12-11,24.42281376,24.80931436,23.60200077,23.92307514,24.42281376,24.80931436,23.60200077,23.92307514,721335.77296144,17256569.89674542
2018-12-10,25.58570319,25.83955645,24.19878632,24.45012599,25.58570319,25.83955645,24.19878632,24.45012599,887595.08414959,21701811.63630093
2018-12-09,24.51735655,26.76080595,24.49508398,25.63252760,24.51735655,26.76080595,24.49508398,25.63252760,885208.44659130,22690129.94223375
2018-12-08,25.07691231,26.48955708,23.43016000,24.54297794,25.07691231,26.48955708,23.43016000,24.54297794,1347531.20758736,33072428.70316480
2018-12-07,26.87609843,26.87609843,22.68336118,25.11778856,26.87609843,26.87609843,22.68336118,25.11778856,1851930.17264337,46516390.49617513
2018-12-06,29.13033481,30.06059508,26.62734959,26.81684682,29.13033481,30.06059508,26.62734959,26.81684682,1139122.36029119,30547669.85067170
2018-12-05,31.22642241,31.30825210,29.16938403,29.19688707,31.22642241,31.30825210,29.16938403,29.19688707,779447.05916869,22757427.76381712
2018-12-04,31.20363644,32.23390107,30.78157571,31.28847130,31.20363644,32.23390107,30.78157571,31.28847130,709648.37012860,22203812.66320580
2018-12-03,33.78833345,33.78833345,30.43104704,31.19830181,33.78833345,33.78833345,30.43104704,31.19830181,958491.03286217,29903292.52140124
2018-12-02,34.01158462,34.68974017,33.50674439,33.73187083,34.01158462,34.68974017,33.50674439,33.73187083,548824.59552414,18512880.36291675
2018-12-01,32.04840103,34.67995316,31.56896553,34.03782455,32.04840103,34.67995316,31.56896553,34.03782455,662902.59059722,22563762.07037887
2018-11-30,33.70212676,34.07020279,31.37498269,32.03858576,33.70212676,34.07020279,31.37498269,32.03858576,803667.74924393,25748378.10478972
2018-11-29,34.62205250,35.34007485,33.17967154,33.68971588,34.62205250,35.34007485,33.17967154,33.68971588,897507.90182386,30236786.21364786
2018-11-28,30.85682096,35.72023158,30.77571838,34.57294396,30.85682096,35.72023158,30.77571838,34.57294396,1273740.58229994,44036961.76738519
2018-11-27,29.54218929,31.12583502,29.02588585,30.81707312,29.54218929,31.12583502,29.02588585,30.81707312,885136.73526630,27277323.48843678
2018-11-26,30.80703701,31.94995273,28.51205097,29.49536967,30.80703701,31.94995273,28.51205097,29.49536967,1417466.37142264,41808694.61985804
2018-11-25,29.10774204,31.68321350,27.04532771,30.94128628,29.10774204,31.68321350,27.04532771,30.94128628,1495176.07141936,46262670.86045066
2018-11-24,32.00698923,33.05168750,28.63104301,29.11621188,32.00698923,33.05168750,28.63104301,29.11621188,912381.93578891,26565105.76089941
2018-11-23,31.91191963,32.95084458,31.12304068,32.04307019,31.91191963,32.95084458,31.12304068,32.04307019,805803.99192902,25820433.87142696
2018-11-22,34.58130283,34.79664016,32.20999719,32.20999719,34.58130283,34.79664016,32.20999719,32.20999719,627053.92040694,20197405.01715322
2018-11-21,33.01131679,34.59816203,31.81944127,34.59456662,33.01131679,34.59816203,31.81944127,34.59456662,939926.73731714,32516358.13616006
2018-11-20,36.48107549,37.78757714,31.31712827,33.14358751,36.48107549,37.78757714,31.31712827,33.14358751,1773558.02104727,58782075.48104918
2018-11-19,42.19431554,42.19431554,35.58896296,36.57780362,42.19431554,42.19431554,35.58896296,36.57780362,1530681.98204241,55988984.95059398
2018-11-18,41.93407821,42.90983101,41.89879711,42.12765076,41.93407821,42.90983101,41.89879711,42.12765076,410634.89669692,17299083.51802717
2018-11-17,42.14195091,42.16997233,41.60832012,41.92900907,42.14195091,42.16997233,41.60832012,41.92900907,388422.16489218,16286156.47574756
2018-11-16,43.95837631,44.00466162,41.81232758,42.08761783,43.95837631,44.00466162,41.81232758,42.08761783,620363.39396151,26109617.43863666
2018-11-15,43.56195478,44.24417038,40.45395219,43.94610472,43.56195478,44.24417038,40.45395219,43.94610472,1164860.54340217,51191083.42677949
2018-11-14,49.45630937,50.37626334,41.65917183,43.34275681,49.45630937,50.37626334,41.65917183,43.34275681,1319806.62071763,57204057.39495799
2018-11-13,50.62010213,50.72172651,49.12837470,49.51058030,50.62010213,50.72172651,49.12837470,49.51058030,414545.29702661,20524378.21498545
2018-11-12,51.15947108,51.52868660,50.38314624,50.63720362,51.15947108,51.52868660,50.38314624,50.63720362,382406.17982630,19363979.59380775
