timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-25,0.31616150,0.32035439,0.31393956,0.31721188,0.31616150,0.32035439,0.31393956,0.31721188,56749062.45636784,18001476.81797106
2019-01-24,0.31657674,0.31866082,0.31386293,0.31596063,0.31657674,0.31866082,0.31386293,0.31596063,57349946.00749810,18120325.30885880
2019-01-23,0.31973862,0.32088959,0.31491605,0.31675758,0.31973862,0.32088959,0.31491605,0.31675758,51498367.26450536,16312498.27613796
2019-01-22,0.32055504,0.32170780,0.31295311,0.31962873,0.32055504,0.32170780,0.31295311,0.31962873,65932377.13706355,21073882.24769362
2019-01-21,0.32193978,0.32481745,0.31665377,0.32048076,0.32193978,0.32481745,0.31665377,0.32048076,46482559.12722733,14896766.07924340
2019-01-20,0.33269216,0.33432834,0.31976241,0.32177611,0.33269216,0.33432834,0.31976241,0.32177611,63595495.92122416,20463511.25465956
2019-01-19,0.32333786,0.33443810,0.32333786,0.33303174,0.32333786,0.33443810,0.32333786,0.33303174,68925478.77003886,22954371.95901783
2019-01-18,0.32856549,0.32958670,0.32255743,0.32328355,0.32856549,0.32958670,0.32255743,0.32328355,55283375.06259020,17872205.85193884
2019-01-17,0.32727816,0.32927580,0.32427207,0.32894033,0.32727816,0.32927580,0.32427207,0.32894033,59477334.32719637,19564493.92179776
2019-01-16,0.32674285,0.33337375,0.32550255,0.32720877,0.32674285,0.33337375,0.32550255,0.32720877,73195344.95428358,23950158.48102893
2019-01-15,0.33515090,0.33710960,0.32372091,0.32694463,0.33515090,0.33710960,0.32372091,0.32694463,77403039.42786473,25306508.26818399
2019-01-14,0.31782533,0.33766767,0.31619725,0.33543045,0.31782533,0.33766767,0.31619725,0.33543045,97084153.46270555,32564981.40180929
2019-01-13,0.33401995,0.34206922,0.31472504,0.31743597,0.33401995,0.34206922,0.31472504,0.31743597,74772701.67888644,23735545.18396969
2019-01-12,0.33601708,0.33845342,0.33393468,0.33394875,0.33601708,0.33845342,0.33393468,0.33394875,55617725.88258127,18573470.31081408
2019-01-11,0.33248177,0.33846027,0.32955887,0.33543372,0.33248177,0.33846027,0.32955887,0.33543372,77088298.83429801,25858014.54004968
2019-01-10,0.36957378,0.38241883,0.32880024,0.33314083,0.36957378,0.38241883,0.32880024,0.33314083,197020805.38704216,65635674.31455582
2019-01-09,0.36513758,0.37284069,0.36359090,0.37172873,0.36513758,0.37284069,0.36359090,0.37172873,93058027.68595666,34592342.21554728
2019-01-08,0.36690627,0.37004242,0.36048559,0.36517726,0.36690627,0.37004242,0.36048559,0.36517726,84015158.28904195,30680425.55189536
2019-01-07,0.36912501,0.37715244,0.36417932,0.36647218,0.36912501,0.37715244,0.36417932,0.36647218,69320444.56269164,25404014.10322830
2019-01-06,0.35533939,0.37159196,0.35383673,0.36910833,0.35533939,0.37159196,0.35383673,0.36910833,90945138.63884629,33568607.82700373
2019-01-05,0.36168545,0.36566812,0.35378784,0.35562807,0.36168545,0.36566812,0.35378784,0.35562807,85028672.40528245,30238582.94332928
2019-01-04,0.35925201,0.36318482,0.35296028,0.36186493,0.35925201,0.36318482,0.35296028,0.36186493,67990597.55954918,24603412.60159832
2019-01-03,0.37600046,0.37615659,0.35643446,0.35917649,0.37600046,0.37615659,0.35643446,0.35917649,78526998.78235680,28205051.72106880
2019-01-02,0.36607772,0.38079097,0.36109374,0.37663824,0.36607772,0.38079097,0.36109374,0.37663824,87285381.57183689,32875012.32493451
2019-01-01,0.35701799,0.36563336,0.35080516,0.36563336,0.35701799,0.36563336,0.35080516,0.36563336,76496282.11856623,27969592.56795496
2018-12-31,0.37141637,0.37413195,0.35504976,0.35651185,0.37141637,0.37413195,0.35504976,0.35651185,104048542.51771106,37094538.88007676
2018-12-30,0.36793524,0.37123117,0.36298719,0.37104555,0.36793524,0.37123117,0.36298719,0.37104555,86349455.98280244,32039581.27743918
