timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-24,3750.20584555,4114.12683774,3529.36516732,3602.36668912,3750.20584555,4114.12683774,3529.36516732,3602.36668912,2803987.12824000,10516574763.20000076
2018-12-31,4015.81953710,4291.45457411,3189.10801549,3752.05575164,4015.81953710,4291.45457411,3189.10801549,3752.05575164,4465346.43133000,16589161545.00000000
2018-11-30,6341.38852605,6555.60352543,3559.57432974,4012.09235790,6341.38852605,6555.60352543,3559.57432974,4012.09235790,3739720.46008000,18164674672.59999847
2018-10-31,6608.85850258,7035.21159590,6191.91529764,6337.46209336,6608.85850258,7035.21159590,6191.91529764,6337.46209336,2051478.84788000,13287890190.10000038
2018-09-30,7040.91116448,7394.17914813,6147.69113989,6630.37019087,7040.91116448,7394.17914813,6147.69113989,6630.37019087,2233907.65378000,14736636817.29999924
2018-08-31,7742.83883076,7757.32199605,5934.43231701,7046.78303475,7742.83883076,7757.32199605,5934.43231701,7046.78303475,2842354.60572000,18866098913.90000153
2018-07-31,6397.47329024,8456.56225937,6139.42717500,7752.96866450,6397.47329024,8456.56225937,6139.42717500,7752.96866450,2522832.48641000,18297755231.70000076
2018-06-30,7515.49836092,7755.42307918,5805.15177998,6394.86045141,7515.49836092,7755.42307918,5805.15177998,6394.86045141,2333133.96567000,15568671622.29999924
2018-05-31,9252.81365477,9940.16206686,7112.69099172,7513.17256169,9252.81365477,9940.16206686,7112.69099172,7513.17256169,2415992.44066000,20440990883.40000153
2018-04-30,6940.78677864,9750.94185948,6474.30854471,9242.93318688,6940.78677864,9750.94185948,6474.30854471,9242.93318688,2944379.49641000,23643068458.70000076
2018-03-31,10335.33132850,11676.43084600,6605.26896412,6940.56190022,10335.33132850,11676.43084600,6605.26896412,6940.56190022,3850876.06100000,33801745424.20000076
2018-02-28,10250.36262940,11786.18070850,6008.04230669,10319.50464710,10250.36262940,11786.18070850,6008.04230669,10319.50464710,4400591.14422000,40005795305.69999695
2018-01-31,13897.78967940,17290.62461900,9293.89294743,10198.47523950,13897.78967940,17290.62461900,9293.89294743,10198.47523950,3671572.99862000,46534062101.40000153
2017-12-31,9948.61809676,19872.61926340,9451.45334217,13884.28347390,9948.61809676,19872.61926340,9451.45334217,13884.28347390,5158608.10870000,77849331918.10000610
2017-11-30,6441.84899337,11350.05565350,5537.01614435,10009.41024800,6441.84899337,11350.05565350,5537.01614435,10009.41024800,4479866.07392000,34783818509.90000153
2017-10-31,4364.67427101,6465.13189161,4159.31495502,6465.13189161,4364.67427101,6465.13189161,4159.31495502,6465.13189161,2889714.69337000,15811886771.70000076
