timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-24,1009.27000000,1221.09000000,855.06000000,883.88600800,146.72686509,177.75270370,126.43579825,130.19959987,856963.20022600,124988487.19000000
2018-12-31,786.72000000,1190.65000000,566.30000000,1009.23000000,113.05072568,172.58047876,81.98216374,146.72104992,929774.49913800,114082014.98400000
2018-11-30,1381.10004300,1547.57508604,729.93000000,786.48000000,197.98730493,223.34985094,105.05053703,113.01623797,976460.20734000,191904675.02700001
2018-10-31,1617.70152911,1631.34534915,1340.21348557,1381.13510400,235.51100309,237.49732114,194.41925718,197.99233109,3471887.67248000,726787066.31599998
2018-09-30,1946.65386011,2082.83717749,1181.56312442,1615.42156337,285.00686072,304.94526917,171.91874119,235.17907720,3558891.83897000,806691156.25100005
2018-08-31,2954.12000000,2968.88000000,1789.94928035,1950.36521131,433.52093040,435.78610536,260.08765934,285.55023445,2475882.61581000,781666266.50600004
2018-07-31,3033.09000000,3348.50000000,2820.98000000,2958.01000000,458.01156698,499.77611940,423.21344451,434.09179293,1295805.86000000,596456828.64199996
2018-06-30,3537.17000000,3601.94000000,2751.07000000,3030.05000000,552.07035944,556.41234020,415.65110973,457.55251197,963964.79860000,479778388.57499999
2017-12-19,1930.28168505,4724.25810000,1930.28168505,4489.91950000,291.74639679,715.08160022,291.74639679,679.16917515,46.24131584,22290.83439280
2017-11-30,1940.23071994,1940.23071994,1930.28168505,1930.28168505,292.45227037,292.45227037,291.43229475,291.74639679,0.00000000,0.00000000
2017-10-31,1889.30785366,2282.20649167,1708.01452705,1940.26887640,283.89725671,346.83383067,257.23110347,292.45802172,1250153.98560000,376283257.10299999
2017-09-30,2459.61185477,2525.53167591,1053.66139139,1888.20654511,373.30381462,384.91623942,160.99563818,283.73176834,14541506.85630000,3922573376.94999981
2017-08-31,1365.08512972,2534.96905732,1365.08512972,2459.83685304,202.86748003,384.54721134,202.86748003,373.33796339,24569622.91990000,7357565767.10000038
2017-07-31,2082.79983205,2082.79983205,962.37535812,1360.14503435,307.32226671,307.32226671,141.98619909,202.13332457,28346793.45130000,6265452843.97000027
2017-06-30,1718.25613099,2910.36179167,1547.45621732,2074.11968668,252.35443772,428.12766734,227.14786935,306.04148979,18178699.59120000,6119768937.02000046
2017-05-31,528.50412438,1828.83628861,455.91228324,1725.76891533,76.47240046,267.49756772,66.10633905,253.45781482,8462148.29967000,1263191615.17000008
2017-04-30,322.49425622,530.81971649,263.23741744,528.65594021,46.80817107,76.80745724,38.13690295,76.49436760,4754487.25627000,251651027.90000001
2017-03-31,104.43266146,340.15711766,100.48962426,321.78352681,15.21061518,49.36359341,14.60680161,46.70501282,12001388.66930000,393695395.93199998
2017-02-28,74.07750634,106.19300456,72.84778993,104.27651678,10.76657081,15.45637211,10.60815476,15.18787271,6846818.43395000,81357041.19239999
2017-01-31,56.83060879,88.57556139,56.83060879,74.01062977,8.18330652,12.80789528,8.18330652,10.75685084,42967159.86520000,441611478.17000002
2016-12-31,60.13508259,61.40175774,41.48171222,56.82217440,8.72893125,8.92401128,6.01240961,8.18209201,53418341.72220000,427469282.06000000
2016-11-30,75.64953038,76.51368017,54.67993465,60.10093609,11.16171536,11.31826783,7.93366569,8.72397470,24871443.03270000,248069308.15700001
2016-10-31,88.02796228,90.57228008,64.93397036,75.59279533,13.19910543,13.57505934,9.58089509,11.15334438,25136684.48700000,298846618.88200003
2016-09-30,78.21931838,95.17860297,74.67405858,88.13779113,11.71220171,14.26074212,11.20509332,13.21557340,29422497.18610000,375342128.52600002
2016-08-31,78.41427041,82.82303746,54.29388662,78.22420001,11.81065519,12.46534905,8.19053891,11.71293266,32431267.37530000,352528516.00000000
2016-07-31,83.26216564,98.36800494,64.52436558,78.49208127,12.52291067,14.73029843,9.67521772,11.82237496,37483090.91790000,466416483.66399997
2016-06-30,94.39794879,144.50715561,68.56945794,83.32006930,14.33900589,21.93852168,10.41340148,12.53161957,30184507.98200000,432715849.56599998
2016-05-31,56.08166798,98.89664511,54.49390431,94.40299999,8.65950148,15.10345148,8.41586893,14.33977316,30089742.47780000,359399560.36000001
2016-04-30,74.38144682,76.48887089,45.70374811,56.10968212,11.52619948,11.83199386,7.07141796,8.66382711,17480246.44270000,152913332.74800000
2016-03-31,42.19886152,99.93564864,41.59801202,74.38017236,6.44334158,15.38631409,6.35764567,11.52600199,7118551.41150000,81403627.12960000
2016-02-29,15.07657580,45.47435416,14.05598283,42.19886152,2.29247629,6.91725735,2.13316237,6.44334158,879439.20410000,4480832.01834000
2016-01-31,6.07000000,19.50000000,6.03000000,15.07657580,0.93474351,2.96385420,0.92759084,2.29247629,346452.32370000,704780.04998800
2015-12-31,8.80000000,8.80000000,5.04000000,6.07000000,1.37624507,1.37624507,0.78465196,0.93474351,94469.14170000,86335.69554270
2015-11-30,6.00000000,8.80000000,5.00000000,8.80000000,0.94857311,1.37628123,0.78456577,1.37624507,725.04530000,677.59840056
2015-10-31,5.90000000,9.00000000,3.00000000,6.00000000,0.92820186,1.42285966,0.47237042,0.94857311,6248.93580000,4603.88263379
2015-09-30,9.99000000,9.99000000,3.80000000,5.90000000,1.56602463,1.57325535,0.59590438,0.92820186,1626.02920000,1648.81147282
