timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-24,223.92000000,307.25000000,219.82000000,246.70348400,32.55331044,44.83307199,32.50380739,36.34031381,1780926.18881000,64673689.71250000
2018-12-31,223.24000000,270.86000000,151.89000000,223.84000000,32.07932174,39.27121397,22.09501907,32.54168011,1525559.55124000,49610310.92070000
2018-11-30,350.22240900,398.27961588,195.21000000,223.11000000,50.20605946,57.59647374,28.09435882,32.06064090,1026212.55118000,50816336.40380000
2018-10-31,407.04186200,420.00000000,311.82506600,354.34311800,59.25866762,61.13801045,44.90956390,50.79678283,3172498.44860000,176490141.30599999
2018-09-30,438.95000000,494.97000000,333.11000000,409.35031500,64.26605370,72.33747058,48.46787336,59.59474079,3007324.14300000,180303789.32699999
2018-08-31,540.71000000,576.67000000,345.42000000,438.90000000,79.34989177,84.43562675,50.09862505,64.25873327,2981276.97660000,190158301.00999999
2018-07-31,553.72000000,648.00000000,471.45000000,552.83000000,83.61445419,97.49272190,70.75789214,81.12851745,1350034.96640000,111837623.18099999
2018-06-30,673.27000000,754.37000000,481.11000000,541.49000000,105.14422251,117.78045197,73.21793111,81.76766380,693340.89960000,64698536.75660000
2017-11-01,342.51155985,342.57867198,341.79983068,342.57867198,51.62699584,51.79153952,51.57607863,51.77798346,0.00000000,0.00000000
2017-10-31,347.12223036,452.61014760,311.37179236,342.51117089,52.16039766,68.79671492,46.99525965,51.62693721,7762820.46161000,429437902.26700002
2017-09-30,453.50772742,590.17765565,180.40405737,346.35941209,68.83043936,89.94896638,27.56508550,52.04577260,110478868.54000001,6545635673.82999992
2017-08-31,288.29707916,458.55931217,275.63663424,453.49785793,42.84428910,69.60523864,41.01827187,68.82894143,61491555.26190000,3190211252.15999985
2017-07-31,286.96283662,378.01771544,256.28548938,288.47383570,42.34207630,55.59451955,37.81165240,42.87055717,99031857.83540000,4627800597.23999977
2017-06-30,171.28781250,379.90622702,170.17255625,287.69874853,25.15645883,55.70818058,24.98459225,42.45066192,180220916.13699999,7162546454.38000011
2017-05-31,97.53674964,263.56732353,89.65761115,170.94795240,14.11317156,38.25315312,13.00016836,25.10654473,231926762.19100001,5775492513.77999973
2017-04-30,41.92025192,98.90271212,39.81825986,97.67547202,6.08448146,14.34703379,5.77938950,14.13324413,142906451.55399999,1379469124.78999996
2017-03-31,25.92632870,44.71823401,25.54212198,41.92706601,3.77616929,6.49214713,3.69918850,6.08547049,43474529.02390000,220686978.04600000
2017-02-28,28.11603013,28.54361071,25.43990955,25.92632870,4.08643925,4.14985488,3.70229226,3.77616929,24606097.15580000,96115703.32030000
2017-01-31,30.76883553,35.53800948,25.12138087,28.11854723,4.43054927,5.12436872,3.63104443,4.08680509,56881365.74480000,237128267.00400001
2016-12-31,27.33993151,33.54299708,23.50617124,30.75230618,3.96853837,4.82890130,3.40688405,4.42816913,39820153.40790000,169717272.28600001
2016-11-30,27.36979582,28.82144928,25.27899410,27.35154159,4.03827848,4.26292955,3.71081149,3.97022363,15696935.19870000,62194343.48910000
2016-10-31,25.65750753,28.04868593,25.32404475,27.35696946,3.84714286,4.13853513,3.77965627,4.03638601,12907097.12610000,50715479.17240000
2016-09-30,25.40086591,28.61255289,24.80832278,25.65531816,3.80340907,4.28857687,3.71357839,3.84681458,14868364.47550000,57670613.44530000
2016-08-31,26.15140820,26.40724704,22.82843263,25.41085548,3.93889101,3.97498001,3.44402118,3.80490486,16976271.69240000,63494213.17290000
2016-07-31,28.00447505,31.30720579,26.08498330,26.18489029,4.21196754,4.70321235,3.92955499,3.94393404,28475464.89310000,121186595.48800001
2016-06-30,31.25869424,39.79998603,22.60164299,27.99616848,4.74818157,6.03846199,3.43559928,4.21071821,31602823.17490000,148253229.29400000
2016-05-31,23.76966031,34.00072186,23.60734891,31.23830832,3.67024406,5.18018461,3.64539565,4.74508496,15470096.45110000,66369824.51050000
2016-04-30,21.00836863,27.42332364,20.64784726,23.73929453,3.25547106,4.22345623,3.19337035,3.66555531,10425607.25690000,35982833.30550000
2016-03-31,22.87582920,22.89764231,20.41871319,21.00839280,3.49290896,3.49875874,3.15436559,3.25547481,5674659.56894000,18697635.61950000
2016-02-29,20.61995925,23.75574720,20.31776881,22.83482084,3.13537824,3.64231285,3.08912086,3.48664739,6952700.87669000,23116530.45790000
2016-01-31,22.62251229,24.02675709,19.44336514,20.58590508,3.48373089,3.64484844,2.95443110,3.13020012,12583656.77180000,41683097.84920000
2015-12-31,23.57090924,26.08783835,21.31406057,22.60821213,3.68569581,4.04158958,3.33085074,3.48152875,10521544.90550000,38371779.08430000
2015-11-30,25.21505722,35.54108144,18.62933953,23.56623078,3.98638754,5.60923735,2.92882645,3.68496425,16016681.50170000,62072286.05360000
2015-10-31,19.43483430,28.23517086,19.01070499,25.22897200,3.05646629,4.44696681,2.99082005,3.98858740,468292945.36199999,1606461276.90000010
2015-09-30,18.11058016,20.68379495,16.67590695,19.44006887,2.83900047,3.24766518,2.62390977,3.05728951,507721467.99900001,1495685255.21000004
2015-08-31,28.78990215,28.83631933,16.58430669,18.09837209,4.63637315,4.64420724,2.58716492,2.83708674,632714054.80999994,2288018559.76000023
2015-07-31,25.47746069,54.60833491,20.40602786,28.78794633,4.12006375,8.82190246,3.29652459,4.63605818,685935376.26199996,3286299133.36999989
