timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-01-25,117.34305812,117.63992038,115.56200295,115.99339673,117.34305812,117.63992038,115.56200295,115.99339673,1573729.08121654,182542181.67088863
2019-01-24,117.57290044,118.00654404,115.35522934,117.28262058,117.57290044,118.00654404,115.35522934,117.28262058,1500860.28915001,176024827.83318067
2019-01-23,118.65566942,119.64309879,116.75485027,117.42125168,118.65566942,119.64309879,116.75485027,117.42125168,1285740.94034623,150973310.55486730
2019-01-22,116.92159602,119.63507887,113.99725963,118.67517241,116.92159602,119.63507887,113.99725963,118.67517241,1705417.58935726,202390726.44545579
2019-01-21,119.06581120,119.18254230,115.32974518,116.68971772,119.06581120,119.18254230,115.32974518,116.68971772,1514263.22761167,176698948.58601293
2019-01-20,124.34136438,124.62610545,118.26227410,119.02533876,124.34136438,124.62610545,118.26227410,119.02533876,1831871.40872315,218039114.98492613
2019-01-19,120.16228638,125.72942292,120.16228638,124.41890006,120.16228638,125.72942292,120.16228638,124.41890006,1497295.38722244,186291845.14804283
2019-01-18,123.42683248,123.65800367,119.82529549,120.25901312,123.42683248,123.65800367,119.82529549,120.25901312,1523746.12822833,183244205.62391141
2019-01-17,123.17742184,124.04023258,119.81285939,123.55476798,123.17742184,124.04023258,119.81285939,123.55476798,1588389.83042114,196253136.95402989
2019-01-16,121.31380729,126.75162582,120.77394125,123.23169205,121.31380729,126.75162582,120.77394125,123.23169205,1678784.06484353,206879400.89233449
2019-01-15,129.09847926,130.63059320,119.77442759,121.58630939,129.09847926,130.63059320,119.77442759,121.58630939,1934215.55962401,235174131.46735919
2019-01-14,116.76462947,131.01638760,116.75401260,129.49220590,116.76462947,131.01638760,116.75401260,129.49220590,2000630.71688934,259066084.72299057
2019-01-13,125.73144264,125.75799034,115.72871365,116.76459960,125.73144264,125.75799034,115.72871365,116.76459960,1592086.88314814,185899387.43704760
2019-01-12,127.19288485,128.04663844,125.14242281,125.49268715,127.19288485,128.04663844,125.14242281,125.49268715,1188320.09913327,149125482.43775228
2019-01-11,127.71894865,129.56279275,124.24641434,126.83556223,127.71894865,129.56279275,124.24641434,126.83556223,1596959.14957480,202551211.59341937
2019-01-10,150.67474535,151.87641458,125.24432478,128.32913109,150.67474535,151.87641458,125.24432478,128.32913109,2472420.71639680,317283602.23575193
2019-01-09,150.44942689,154.12627695,150.24875385,150.76318856,150.44942689,154.12627695,150.24875385,150.76318856,1362614.47690288,205432103.31490803
2019-01-08,151.84205366,153.66395295,148.82893492,150.39128846,151.84205366,153.66395295,148.82893492,150.39128846,1549753.19693516,233069380.07468244
2019-01-07,158.06206431,159.15498372,151.05534848,151.68337371,158.06206431,159.15498372,151.05534848,151.68337371,1550758.83769411,235224332.31203073
2019-01-06,156.15586110,160.72773028,152.08893921,158.37524309,156.15586110,160.72773028,152.08893921,158.37524309,1659770.51014106,262866558.00900459
2019-01-05,155.46557865,162.05309773,155.46557865,156.30350194,155.46557865,162.05309773,155.46557865,156.30350194,1663655.52197603,260035184.09902999
2019-01-04,149.69194426,157.89083634,148.32939897,155.74490445,149.69194426,157.89083634,148.32939897,155.74490445,1788099.49641123,278487385.21485645
2019-01-03,156.18838612,156.81101057,147.51277522,149.60998841,156.18838612,156.81101057,147.51277522,149.60998841,1552345.49219968,232246391.08874881
2019-01-02,141.62819457,158.38823269,141.03227684,156.72615228,141.62819457,158.38823269,141.03227684,156.72615228,1821326.75375273,285449534.15756708
2019-01-01,133.49340873,142.26343208,132.65635557,140.94329839,133.49340873,142.26343208,132.65635557,140.94329839,1449835.79670950,204344639.30946288
2018-12-31,140.90401657,141.08497447,132.64605390,133.63774463,140.90401657,141.08497447,132.64605390,133.63774463,1484125.75351619,198335218.44266957
2018-12-30,137.68678941,141.65721433,134.53110114,140.82998756,137.68678941,141.65721433,134.53110114,140.82998756,1733228.67677116,244090572.99128312
2018-12-29,138.72720331,147.58518060,135.19093326,138.71933846,138.72720331,147.58518060,135.19093326,138.71933846,2008848.01784956,278666068.11142558
2018-12-28,116.54586725,139.05810462,115.43569761,137.46199810,116.54586725,139.05810462,115.43569761,137.46199810,2301816.03761059,316412231.78429359
2018-12-27,132.35580686,133.30904530,115.22374958,116.37643191,132.35580686,133.30904530,115.22374958,116.37643191,2099472.53597332,244329122.63730863
2018-12-26,130.79148032,138.06791433,126.54279979,132.13155341,130.79148032,138.06791433,126.54279979,132.13155341,1781146.14318569,235345606.75750852
2018-12-25,141.08359363,141.19692744,124.81958588,130.14043578,141.08359363,141.19692744,124.81958588,130.14043578,2417488.61569684,314613021.94304693
2018-12-24,131.47241522,159.80406668,131.47241522,139.85440152,131.47241522,159.80406668,131.47241522,139.85440152,3272582.35473930,457685046.65987587
2018-12-23,117.48750959,134.10837892,117.48750959,131.57186005,117.48750959,134.10837892,117.48750959,131.57186005,1951514.08064349,256764337.49990433
2018-12-22,109.83763920,117.38354277,107.86786504,117.38354277,109.83763920,117.38354277,107.86786504,117.38354277,1324716.71441468,155499941.10746479
2018-12-21,116.40363403,119.95832810,108.01686263,110.10776649,116.40363403,119.95832810,108.01686263,110.10776649,2037841.75065544,224382203.61503315
2018-12-20,101.34923808,117.28964817,100.88668193,116.73422220,101.34923808,117.28964817,100.88668193,116.73422220,2443381.56492980,285226246.51379967
2018-12-19,101.66016020,108.93775733,100.74580539,101.53665977,101.66016020,108.93775733,100.74580539,101.53665977,2355432.79784563,239162778.61220437
2018-12-18,95.37756457,101.79748504,93.15633128,101.44330457,95.37756457,101.79748504,93.15633128,101.44330457,1520809.29487814,154275920.49354109
2018-12-17,85.61513400,97.33021435,85.38512839,95.37819210,85.61513400,97.33021435,85.38512839,95.37819210,1880886.99053462,179395600.69321096
2018-12-16,84.62156172,87.86169127,84.61270433,85.48832755,84.62156172,87.86169127,84.61270433,85.48832755,1174311.62802107,100389937.10028780
2018-12-15,84.55207200,85.61244486,82.89735971,84.71173886,84.55207200,85.61244486,82.89735971,84.71173886,1122738.12862075,95109099.16312230
2018-12-14,86.82549528,87.44745982,83.30613655,84.43482707,86.82549528,87.44745982,83.30613655,84.43482707,1373308.37877412,115955055.47006032
2018-12-13,90.32711665,91.30345638,85.77093782,86.49938020,90.32711665,91.30345638,85.77093782,86.49938020,1439357.81803918,124503559.14875756
2018-12-12,88.34301046,91.97119456,87.55836667,90.24545130,88.34301046,91.97119456,87.55836667,90.24545130,1319752.66656902,119101675.00031435
2018-12-11,90.77879897,91.94089934,86.61974768,88.40683497,90.77879897,91.94089934,86.61974768,88.40683497,1341132.00994588,118565236.28254545
2018-12-10,94.32467284,95.71255884,89.73919926,90.81256458,94.32467284,95.71255884,89.73919926,90.81256458,1351302.54897101,122715249.99476974
2018-12-09,91.20861271,99.07362772,89.85460058,94.48895042,91.20861271,99.07362772,89.85460058,94.48895042,1588905.13328210,150133978.36115324
2018-12-08,93.52334110,97.74474616,85.65512084,91.60722292,93.52334110,97.74474616,85.65512084,91.60722292,1982027.03134310,181567992.09889552
2018-12-07,91.07819550,96.57240893,82.97686033,93.13561327,91.07819550,96.57240893,82.97686033,93.13561327,3431615.21875336,319605587.89046800
2018-12-06,101.78435149,103.57879078,91.10842663,91.35821866,101.78435149,103.57879078,91.10842663,91.35821866,2527568.86097305,230914188.67094383
2018-12-05,110.18743722,110.59253153,101.85560250,101.85560250,110.18743722,110.59253153,101.85560250,101.85560250,1646338.76192922,167688826.51293218
2018-12-04,108.44236179,113.19683091,107.04997224,110.01201387,108.44236179,113.19683091,107.04997224,110.01201387,1265085.70510938,139174626.13959938
2018-12-03,116.21162952,116.39427140,107.25169343,108.41270962,116.21162952,116.39427140,107.25169343,108.41270962,1378360.57466330,149431804.72897089
2018-12-02,118.42380000,120.29837485,115.92759219,116.14576963,118.42380000,120.29837485,115.92759219,116.14576963,948423.70940758,110155401.66824690
2018-12-01,113.28839823,120.31526838,111.41557305,118.43973973,113.28839823,120.31526838,111.41557305,118.43973973,1263123.91806685,149604068.10372010
2018-11-30,117.54543862,119.42703719,111.68064909,113.10250360,117.54543862,119.42703719,111.68064909,113.10250360,1599960.40358599,180959527.31420553
2018-11-29,122.63656465,123.27695134,115.00069274,117.45674926,122.63656465,123.27695134,115.00069274,117.45674926,1751987.21506342,205782723.03176272
2018-11-28,109.99762299,125.42217821,109.99762299,122.36228771,109.99762299,125.42217821,109.99762299,122.36228771,2238263.97979590,273879101.07501185
2018-11-27,108.20898888,111.91783558,101.99850448,109.82789398,108.20898888,111.91783558,101.99850448,109.82789398,1997690.69371941,219402161.72250888
2018-11-26,116.17840709,118.19332927,105.12764283,108.20702222,116.17840709,118.19332927,105.12764283,108.20702222,2761639.37658190,298828773.39801961
2018-11-25,112.46844229,118.90856965,100.65895165,116.50739106,112.46844229,118.90856965,100.65895165,116.50739106,3021321.21479084,352006252.29007244
2018-11-24,122.82915521,126.92938703,109.98457443,113.01721403,122.82915521,126.92938703,109.98457443,113.01721403,1767642.46503436,199774026.80530015
2018-11-23,124.64829059,126.32051237,119.14160117,122.90707515,124.64829059,126.32051237,119.14160117,122.90707515,2010526.51804761,247107933.84951901
2018-11-22,136.17620682,137.81320902,125.46304816,125.46304816,136.17620682,137.81320902,125.46304816,125.46304816,1358787.64851816,170477640.18454778
2018-11-21,130.62615148,138.83959298,125.08518265,136.57962482,130.62615148,138.83959298,125.08518265,136.57962482,2277471.11895097,311056150.96571511
2018-11-20,147.84521778,150.89249361,125.28938329,130.85229869,147.84521778,150.89249361,125.28938329,130.85229869,3715693.67285424,486207058.33166784
2018-11-19,176.62296793,176.62296793,145.51363032,148.36030317,176.62296793,176.62296793,145.51363032,148.36030317,2539537.59601750,376766567.65545726
2018-11-18,173.31528840,178.85428407,173.30440073,175.95342860,173.31528840,178.85428407,173.30440073,175.95342860,830377.69902273,146107803.17577502
2018-11-17,174.08745662,174.79808698,172.02146250,173.19866243,174.08745662,174.79808698,172.02146250,173.19866243,752348.29530276,130305718.42893526
2018-11-16,180.57483764,180.87385990,171.29153195,174.30843336,180.57483764,180.87385990,171.29153195,174.30843336,1145309.04920343,199637026.07551837
2018-11-15,181.73411239,184.06185138,168.54671179,180.62831306,181.73411239,184.06185138,168.54671179,180.62831306,1705277.39556363,308021379.25538200
2018-11-14,204.92427736,206.20583178,171.21168102,180.52623739,204.92427736,206.20583178,171.21168102,180.52623739,2319251.42249155,418685732.87145519
2018-11-13,209.58818624,209.76117758,204.45483927,205.05463866,209.58818624,209.76117758,204.45483927,205.05463866,773971.13556705,158706371.53869414
2018-11-12,210.59125963,211.79160642,208.30975504,209.78021536,210.59125963,211.79160642,208.30975504,209.78021536,686135.26773247,143937604.22759831
