Date,Open,High,Low,Close,volume,market cap (USD)
1/25/2019,117.34,117.64,115.56,115.99,1573729.08,182542181.70
1/24/2019,117.57,118.01,115.36,117.28,1500860.29,176024827.80
1/23/2019,118.66,119.64,116.75,117.42,1285740.94,150973310.60
1/22/2019,116.92,119.64,114.00,118.68,1705417.59,202390726.40
1/21/2019,119.07,119.18,115.33,116.69,1514263.23,176698948.60
1/20/2019,124.34,124.63,118.26,119.03,1831871.41,218039115.00
1/19/2019,120.16,125.73,120.16,124.42,1497295.39,186291845.10
1/18/2019,123.43,123.66,119.83,120.26,1523746.13,183244205.60
1/17/2019,123.18,124.04,119.81,123.55,1588389.83,196253137.00
1/16/2019,121.31,126.75,120.77,123.23,1678784.07,206879400.90
1/15/2019,129.10,130.63,119.77,121.59,1934215.56,235174131.50
1/14/2019,116.76,131.02,116.75,129.49,2000630.72,259066084.70
1/13/2019,125.73,125.76,115.73,116.76,1592086.88,185899387.40
1/12/2019,127.19,128.05,125.14,125.49,1188320.10,149125482.40
1/11/2019,127.72,129.56,124.25,126.84,1596959.15,202551211.60
1/10/2019,150.67,151.88,125.24,128.33,2472420.72,317283602.20
1/9/2019,150.45,154.13,150.25,150.76,1362614.48,205432103.30
1/8/2019,151.84,153.66,148.83,150.39,1549753.20,233069380.10
1/7/2019,158.06,159.15,151.06,151.68,1550758.84,235224332.30
1/6/2019,156.16,160.73,152.09,158.38,1659770.51,262866558.00
1/5/2019,155.47,162.05,155.47,156.30,1663655.52,260035184.10
1/4/2019,149.69,157.89,148.33,155.74,1788099.50,278487385.20
1/3/2019,156.19,156.81,147.51,149.61,1552345.49,232246391.10
1/2/2019,141.63,158.39,141.03,156.73,1821326.75,285449534.20
1/1/2019,133.49,142.26,132.66,140.94,1449835.80,204344639.30
12/31/2018,140.90,141.08,132.65,133.64,1484125.75,198335218.40
12/30/2018,137.69,141.66,134.53,140.83,1733228.68,244090573.00
12/29/2018,138.73,147.59,135.19,138.72,2008848.02,278666068.10
12/28/2018,116.55,139.06,115.44,137.46,2301816.04,316412231.80
12/27/2018,132.36,133.31,115.22,116.38,2099472.54,244329122.60
12/26/2018,130.79,138.07,126.54,132.13,1781146.14,235345606.80
12/25/2018,141.08,141.20,124.82,130.14,2417488.62,314613021.90
12/24/2018,131.47,159.80,131.47,139.85,3272582.36,457685046.70
12/23/2018,117.49,134.11,117.49,131.57,1951514.08,256764337.50
12/22/2018,109.84,117.38,107.87,117.38,1324716.71,155499941.10
12/21/2018,116.40,119.96,108.02,110.11,2037841.75,224382203.60
12/20/2018,101.35,117.29,100.89,116.73,2443381.57,285226246.50
12/19/2018,101.66,108.94,100.75,101.54,2355432.80,239162778.60
12/18/2018,95.38,101.80,93.16,101.44,1520809.30,154275920.50
12/17/2018,85.62,97.33,85.39,95.38,1880886.99,179395600.70
12/16/2018,84.62,87.86,84.61,85.49,1174311.63,100389937.10
12/15/2018,84.55,85.61,82.90,84.71,1122738.13,95109099.16
12/14/2018,86.83,87.45,83.31,84.43,1373308.38,115955055.50
12/13/2018,90.33,91.30,85.77,86.50,1439357.82,124503559.10
12/12/2018,88.34,91.97,87.56,90.25,1319752.67,119101675.00
12/11/2018,90.78,91.94,86.62,88.41,1341132.01,118565236.30
12/10/2018,94.32,95.71,89.74,90.81,1351302.55,122715250.00
12/9/2018,91.21,99.07,89.85,94.49,1588905.13,150133978.40
12/8/2018,93.52,97.74,85.66,91.61,1982027.03,181567992.10
12/7/2018,91.08,96.57,82.98,93.14,3431615.22,319605587.90
12/6/2018,101.78,103.58,91.11,91.36,2527568.86,230914188.70
12/5/2018,110.19,110.59,101.86,101.86,1646338.76,167688826.50
12/4/2018,108.44,113.20,107.05,110.01,1265085.71,139174626.10
12/3/2018,116.21,116.39,107.25,108.41,1378360.58,149431804.70
12/2/2018,118.42,120.30,115.93,116.15,948423.71,110155401.70
12/1/2018,113.29,120.32,111.42,118.44,1263123.92,149604068.10
11/30/2018,117.55,119.43,111.68,113.10,1599960.40,180959527.30
11/29/2018,122.64,123.28,115.00,117.46,1751987.22,205782723.00
11/28/2018,110.00,125.42,110.00,122.36,2238263.98,273879101.10
11/27/2018,108.21,111.92,102.00,109.83,1997690.69,219402161.70
11/26/2018,116.18,118.19,105.13,108.21,2761639.38,298828773.40
11/25/2018,112.47,118.91,100.66,116.51,3021321.22,352006252.30
11/24/2018,122.83,126.93,109.98,113.02,1767642.47,199774026.80
11/23/2018,124.65,126.32,119.14,122.91,2010526.52,247107933.80
11/22/2018,136.18,137.81,125.46,125.46,1358787.65,170477640.20
11/21/2018,130.63,138.84,125.09,136.58,2277471.12,311056151.00
