Date,Open,High,Low,Close,adjusted_close,volume,dividend_amount,split_coefficient
1/25/2019,2657.4399,2672.3799,2657.3301,2664.76,2664.76,3814080000,0,1
1/24/2019,2638.8401,2647.2,2627.01,2642.3301,2642.3301,3433250000,0,1
1/23/2019,2643.48,2653.1899,2612.8601,2638.7,2638.7,3335610000,0,1
1/22/2019,2657.8799,2657.8799,2617.27,2632.8999,2632.8999,3908030000,0,1
1/18/2019,2651.27,2675.47,2647.5801,2670.71,2670.71,3986730000,0,1
1/17/2019,2609.28,2645.0601,2606.3601,2635.96,2635.96,3772270000,0,1
1/16/2019,2614.75,2625.76,2612.6799,2616.1001,2616.1001,3863770000,0,1
1/15/2019,2585.1001,2613.0801,2585.1001,2610.3,2610.3,3572330000,0,1
1/14/2019,2580.3101,2589.3201,2570.4099,2582.6101,2582.6101,3664450000,0,1
1/11/2019,2588.1101,2596.27,2577.3999,2596.26,2596.26,3434490000,0,1
1/10/2019,2573.51,2597.8201,2562.02,2596.6399,2596.6399,3704500000,0,1
1/9/2019,2580,2595.3201,2568.8899,2584.96,2584.96,4052480000,0,1
1/8/2019,2568.1101,2579.8201,2547.5601,2574.4099,2574.4099,4083030000,0,1
1/7/2019,2535.6101,2566.1599,2524.5601,2549.6899,2549.6899,4104710000,0,1
1/4/2019,2474.3301,2538.0701,2474.3301,2531.9399,2531.9399,4213410000,0,1
1/3/2019,2491.9199,2493.1399,2443.96,2447.8899,2447.8899,3822860000,0,1
1/2/2019,2476.96,2519.49,2467.47,2510.03,2510.03,3733160000,0,1
12/31/2018,2498.9399,2509.24,2482.8201,2506.8501,2506.8501,3442870000,0,1
12/28/2018,2498.77,2520.27,2472.8899,2485.74,2485.74,3702620000,0,1
12/27/2018,2442.5,2489.1001,2397.9399,2488.8301,2488.8301,4096610000,0,1
12/26/2018,2363.1201,2467.76,2346.5801,2467.7,2467.7,4233990000,0,1
12/24/2018,2400.5601,2410.3401,2351.1001,2351.1001,2351.1001,2613930000,0,1
12/21/2018,2465.3799,2504.4099,2408.55,2416.6201,2416.6201,7609010000,0,1
12/20/2018,2496.77,2509.6299,2441.1799,2467.4199,2467.4199,5585780000,0,1
12/19/2018,2547.05,2585.29,2488.96,2506.96,2506.96,5127940000,0,1
12/18/2018,2559.8999,2573.99,2528.71,2546.1599,2546.1599,4470880000,0,1
12/17/2018,2590.75,2601.1299,2530.54,2545.9399,2545.9399,4616350000,0,1
12/14/2018,2629.6799,2635.0701,2593.8401,2599.95,2599.95,4035020000,0,1
12/13/2018,2658.7,2670.1899,2637.27,2650.54,2650.54,3927720000,0,1
12/12/2018,2658.23,2685.4399,2650.26,2651.0701,2651.0701,3955890000,0,1
12/11/2018,2664.4399,2674.3501,2621.3,2636.78,2636.78,3905870000,0,1
12/10/2018,2630.8601,2647.51,2583.23,2637.72,2637.72,4151030000,0,1
12/7/2018,2691.26,2708.54,2623.1399,2633.0801,2633.0801,4216690000,0,1
12/6/2018,2663.51,2696.1499,2621.53,2695.95,2695.95,5141470000,0,1
12/4/2018,2782.4299,2785.9299,2697.1799,2700.0601,2700.0601,4499840000,0,1
12/3/2018,2790.5,2800.1799,2773.3799,2790.3701,2790.3701,4186060000,0,1
11/30/2018,2737.76,2760.8799,2732.76,2760.1699,2760.1699,4658580000,0,1
11/29/2018,2736.97,2753.75,2722.9399,2737.8,2737.8,3560770000,0,1
11/28/2018,2691.45,2744,2684.3799,2743.79,2743.79,3951670000,0,1
11/27/2018,2663.75,2682.53,2655.8899,2682.1699,2682.1699,3485220000,0,1
11/26/2018,2649.97,2674.3501,2649.97,2673.45,2673.45,3443950000,0,1
11/23/2018,2633.3601,2647.55,2631.0901,2632.5601,2632.5601,1651650000,0,1
