Date,Open,High,Low,Close,volume,market cap (USD)
1/25/2019,74.23,79.42,73.83,74.93,158528.19,11877952.61
1/24/2019,71.88,77.92,71.80,74.11,160736.27,11911739.94
1/23/2019,76.15,81.69,71.83,71.88,170444.42,12251635.22
1/22/2019,75.59,78.04,70.47,76.13,167960.14,12787596.51
1/21/2019,77.07,77.08,75.59,75.59,150586.92,11382555.75
1/20/2019,80.18,80.33,74.57,77.08,167726.88,12928084.84
1/19/2019,77.29,81.81,77.13,80.21,152040.41,12194481.03
1/18/2019,71.80,77.55,71.72,77.28,221037.12,17081649.38
1/17/2019,71.69,76.43,71.01,71.84,25154.01,1807138.56
1/16/2019,76.62,76.62,70.08,71.95,133510.74,9605458.78
1/15/2019,76.99,77.07,74.41,76.64,112167.76,8596054.49
1/14/2019,78.60,79.34,76.37,77.01,133261.33,10262870.10
1/13/2019,79.80,80.45,73.04,78.59,120937.39,9504988.26
1/12/2019,79.12,79.80,73.81,79.80,71625.26,5715560.71
1/11/2019,78.37,79.57,77.08,79.11,69379.79,5488512.95
1/10/2019,88.04,88.54,75.34,78.47,104832.15,8226145.85
1/9/2019,85.14,89.80,84.69,87.99,93846.13,8257668.45
1/8/2019,88.21,88.39,84.72,85.18,81858.13,6972362.58
1/7/2019,89.68,90.23,87.06,88.27,68198.96,6019721.60
1/6/2019,84.17,90.31,83.98,89.72,74726.77,6704396.53
1/5/2019,85.59,86.69,83.67,84.16,82410.90,6935541.90
1/4/2019,84.07,89.34,83.76,85.52,65222.52,5577542.84
1/3/2019,87.07,90.63,83.39,84.07,78251.06,6578710.08
1/2/2019,84.91,87.48,84.35,87.37,78271.85,6838261.73
1/1/2019,83.25,84.99,82.00,84.94,73719.01,6261595.40
12/31/2018,85.40,86.77,83.27,83.27,73986.20,6160511.56
12/30/2018,84.08,86.40,80.93,85.41,86778.32,7411643.48
12/29/2018,87.55,87.88,83.48,84.20,78175.64,6582411.03
12/28/2018,79.92,88.32,79.55,87.40,76313.05,6669926.69
12/27/2018,87.16,87.16,79.84,79.92,75447.61,6030025.05
12/26/2018,86.55,89.14,83.80,87.14,71873.42,6262962.98
12/25/2018,97.36,97.36,83.18,86.50,93420.52,8081121.19
12/24/2018,93.53,107.24,93.53,97.07,105982.75,10287622.80
12/23/2018,90.47,95.99,90.47,93.51,76215.31,7127151.57
12/22/2018,89.47,95.97,86.39,90.42,99059.65,8956796.23
12/21/2018,100.33,100.33,88.87,89.47,108261.59,9685700.12
12/20/2018,79.38,102.15,77.21,102.15,118381.03,12092064.32
12/19/2018,74.92,85.39,74.90,79.41,89258.90,7087615.01
12/18/2018,73.50,74.88,71.33,74.88,73913.21,5534664.31
12/17/2018,65.40,77.86,65.40,73.50,96855.52,7119286.97
12/16/2018,65.13,67.82,63.96,65.41,80481.74,5264393.06
12/15/2018,63.07,67.02,60.95,65.19,123470.33,8048658.53
12/14/2018,64.87,65.34,62.73,63.09,77039.44,4860280.04
12/13/2018,69.16,70.70,64.66,64.83,88592.56,5743400.49
12/12/2018,68.11,72.29,67.90,69.14,81030.74,5602697.31
12/11/2018,71.64,73.56,67.79,68.11,81165.54,5528118.98
12/10/2018,80.31,80.38,69.96,71.65,81878.13,5866816.93
12/9/2018,70.89,81.09,68.60,80.41,73571.23,5915528.51
12/8/2018,70.99,73.69,68.77,70.97,72453.60,5142086.51
12/7/2018,75.70,75.70,64.54,72.55,100825.85,7314939.22
12/6/2018,85.98,86.16,75.55,75.70,76657.02,5803035.34
12/5/2018,90.10,90.55,83.92,85.99,73594.37,6328576.79
12/4/2018,92.67,93.28,89.75,90.11,67199.82,6055301.54
12/3/2018,97.31,97.45,90.24,90.30,62928.71,5682148.26
12/2/2018,99.44,100.16,97.20,97.26,42518.03,4135446.60
12/1/2018,95.36,100.91,95.30,99.45,38294.13,3808424.55
11/30/2018,99.42,101.91,92.44,95.35,47916.77,4568629.75
11/29/2018,103.05,103.26,97.77,99.42,51732.76,5143095.36
11/28/2018,94.00,105.05,94.00,103.05,55460.65,5715078.87
11/27/2018,94.80,95.95,91.57,93.99,60542.97,5690535.53
11/26/2018,95.08,98.89,88.83,94.82,66071.67,6264738.55
11/25/2018,99.27,99.48,88.06,95.37,85415.16,8145948.83
11/24/2018,103.95,106.69,96.96,98.07,46848.58,4594641.06
11/23/2018,108.44,109.00,99.84,103.87,50115.26,5205262.40
11/22/2018,118.62,119.17,110.38,110.38,42442.47,4684667.07
11/21/2018,110.07,118.89,108.24,118.63,41962.78,4978083.43
11/20/2018,114.07,117.50,103.73,109.57,72418.25,7934732.74
11/19/2018,139.33,139.48,114.12,114.34,76910.23,8793953.86
11/18/2018,140.45,141.71,138.03,139.30,33569.51,4676140.31
11/17/2018,144.12,149.89,139.05,139.30,31881.08,4441006.05
11/16/2018,144.87,150.63,142.49,144.08,34932.13,5032881.55
11/15/2018,152.35,152.80,136.89,144.80,45721.89,6620385.84
11/14/2018,164.83,166.68,147.80,152.17,47082.09,7164258.27
11/13/2018,165.79,167.26,163.66,164.88,18230.15,3005707.65
11/12/2018,163.67,167.49,163.34,165.61,19055.11,3155755.96
11/11/2018,165.79,166.08,162.44,163.81,18834.00,3085262.16
11/10/2018,162.58,167.03,161.88,165.90,21058.14,3493483.77
11/9/2018,167.07,169.42,162.37,162.43,21904.66,3557935.00
11/8/2018,169.33,175.34,166.77,167.13,22666.46,3788357.66
11/7/2018,172.39,174.36,165.15,168.36,18562.11,3125041.27
11/6/2018,163.96,174.57,163.88,172.67,23913.65,4129263.14
11/5/2018,165.68,168.71,163.28,163.96,21725.39,3562162.07
11/4/2018,157.07,169.81,155.03,165.84,36262.17,6013746.65
11/3/2018,157.05,158.20,155.39,157.44,10948.51,1723695.58
11/2/2018,155.65,157.75,155.01,157.18,8929.49,1403527.48
11/1/2018,154.51,157.32,154.18,155.65,10533.77,1639599.74
10/31/2018,153.83,158.26,153.68,154.54,20051.60,3098821.73
10/30/2018,151.27,154.97,151.01,153.78,12573.54,1933545.16
10/29/2018,157.16,158.42,150.59,151.19,13969.42,2112042.84
10/28/2018,155.20,157.72,154.84,157.15,8870.33,1393998.87
10/27/2018,157.59,158.69,153.58,155.21,9164.36,1422365.62
10/26/2018,157.36,158.02,155.24,157.61,12863.44,2027466.76
10/25/2018,158.50,159.12,156.38,157.33,8481.23,1334314.79
10/24/2018,155.65,161.90,155.60,158.59,16556.75,2625652.19
10/23/2018,154.93,156.26,154.79,155.55,9429.09,1466716.85
10/22/2018,158.96,158.98,154.61,154.85,8951.29,1386124.67
10/21/2018,161.06,162.54,157.77,159.08,7595.09,1208237.10
10/20/2018,156.27,161.29,155.03,161.04,7439.64,1198114.84
10/19/2018,158.09,158.74,154.85,156.32,8357.78,1306500.16
10/18/2018,163.32,163.70,157.10,158.27,7358.18,1164607.32
10/17/2018,167.16,167.16,162.38,163.29,11508.16,1879162.89
10/16/2018,169.89,172.29,165.61,167.32,8542.41,1429281.33
10/15/2018,162.12,176.99,160.13,169.59,22896.84,3883130.31
10/14/2018,168.62,170.06,161.87,162.10,8027.82,1301294.93
10/13/2018,160.57,168.45,160.57,168.45,8111.10,1366275.77
10/12/2018,159.71,165.80,156.50,160.55,13535.23,2173081.39
10/11/2018,181.17,181.17,159.56,160.13,18649.93,2986414.35
10/10/2018,183.98,183.98,179.22,181.26,12117.64,2196485.06
10/9/2018,184.54,184.60,182.73,183.67,9839.92,1807298.32
10/8/2018,181.48,185.57,180.42,184.64,11363.55,2098136.60
10/7/2018,183.09,183.72,178.68,181.46,11038.18,2002955.78
10/6/2018,182.68,187.28,182.45,183.09,13804.10,2527367.92
10/5/2018,185.64,186.05,181.63,182.73,9990.05,1825471.70
10/4/2018,180.81,186.82,180.81,185.53,8943.80,1659320.35
10/3/2018,182.46,182.46,177.97,180.81,11317.51,2046324.35
10/2/2018,188.42,188.94,181.35,182.46,13612.53,2483772.21
10/1/2018,188.40,189.21,186.68,188.46,9043.50,1704364.80
9/30/2018,189.90,190.70,187.76,188.47,9081.43,1711594.12
9/29/2018,188.59,191.66,185.78,189.86,8937.17,1696817.15
9/28/2018,196.08,196.31,187.16,188.61,13991.83,2638969.00
9/27/2018,186.32,197.27,185.44,196.11,18256.11,3580218.35
9/26/2018,190.39,193.84,185.91,186.83,12400.82,2316846.85
9/25/2018,199.10,199.10,182.95,190.48,17318.49,3298879.93
9/24/2018,204.67,205.28,193.78,199.36,15303.60,3050895.89
9/23/2018,204.65,210.28,202.90,204.83,13262.99,2716688.72
