Date,Open,High,Low,Close,volume,market cap (USD)
1/25/2019,32.73,33.13,32.18,32.94,1754246.69,57786925.30
1/24/2019,31.93,32.95,31.40,32.71,1786512.69,58440513.64
1/23/2019,31.74,32.35,31.62,31.91,1603491.72,51168081.32
1/22/2019,31.07,32.06,30.20,31.75,1906567.15,60530765.34
1/21/2019,30.95,31.37,30.85,31.07,1571262.15,48812068.79
1/20/2019,32.56,33.33,30.79,30.93,1843512.74,57023138.88
1/19/2019,31.33,33.11,31.33,32.56,1355743.80,44148923.17
1/18/2019,31.99,32.03,31.15,31.31,1179733.75,36934878.27
1/17/2019,31.90,32.01,30.74,31.98,1204567.28,38519898.85
1/16/2019,31.51,32.30,31.28,31.94,1090428.53,34825726.90
1/15/2019,32.50,32.76,31.19,31.49,1206878.75,38009851.39
1/14/2019,30.42,32.91,30.31,32.51,1151898.53,37443280.32
1/13/2019,32.36,33.22,30.15,30.36,1001564.41,30411583.92
1/12/2019,32.52,33.00,32.05,32.39,701175.71,22709244.76
1/11/2019,33.82,34.09,32.33,32.50,1089824.77,35416389.62
1/10/2019,39.33,39.88,33.00,33.94,1618405.97,54931888.12
1/9/2019,39.77,40.64,39.21,39.36,946874.79,37268455.34
1/8/2019,38.29,41.38,38.29,39.75,1333768.91,53017041.20
1/7/2019,39.66,40.01,38.02,38.21,1012395.55,38684631.66
1/6/2019,35.21,40.31,35.07,39.70,1720317.92,68298939.11
1/5/2019,32.58,36.34,32.56,35.19,1315147.16,46284179.94
1/4/2019,32.32,33.23,31.73,32.68,837253.85,27358092.88
1/3/2019,33.51,33.66,31.86,32.32,816591.19,26395540.30
1/2/2019,32.01,33.90,31.79,33.73,844173.68,28474270.45
1/1/2019,30.37,32.12,30.09,31.96,773494.14,24717091.43
12/31/2018,32.34,32.39,30.10,30.37,934964.82,28398107.37
12/30/2018,31.98,32.66,31.52,32.33,855506.06,27656872.65
12/29/2018,32.71,33.69,31.91,32.17,939315.36,30215550.13
12/28/2018,28.41,33.45,28.41,32.58,1122026.17,36551304.76
12/27/2018,31.19,31.52,28.26,28.42,889643.90,25279815.04
12/26/2018,31.45,32.51,29.82,31.12,975979.95,30370428.87
12/25/2018,33.71,33.71,30.55,31.40,1073969.20,33725641.14
12/24/2018,33.90,36.93,33.50,33.50,1436547.74,48131258.61
12/23/2018,32.31,34.49,32.30,33.90,966695.81,32772052.60
12/22/2018,30.96,32.29,30.48,32.29,750786.87,24240086.60
12/21/2018,33.05,33.51,30.50,31.00,1256679.11,38952024.95
12/20/2018,29.70,33.34,29.58,33.06,1605108.16,53059458.46
12/19/2018,30.10,31.88,29.49,29.78,1510484.67,44982179.14
12/18/2018,29.29,30.03,28.21,29.97,1064358.69,31903708.02
12/17/2018,25.66,30.53,25.66,29.28,1626810.36,47631748.82
12/16/2018,23.76,26.66,23.75,25.56,1316469.01,33648588.40
12/15/2018,23.32,24.01,23.20,23.77,709222.63,16861046.08
12/14/2018,23.22,23.68,22.79,23.29,850321.80,19801847.11
12/13/2018,24.61,24.68,23.14,23.22,763733.45,17736071.69
12/12/2018,23.92,25.22,23.82,24.59,820269.30,20166813.08
12/11/2018,24.42,24.81,23.60,23.92,721335.77,17256569.90
12/10/2018,25.59,25.84,24.20,24.45,887595.08,21701811.64
12/9/2018,24.52,26.76,24.50,25.63,885208.45,22690129.94
12/8/2018,25.08,26.49,23.43,24.54,1347531.21,33072428.70
12/7/2018,26.88,26.88,22.68,25.12,1851930.17,46516390.50
12/6/2018,29.13,30.06,26.63,26.82,1139122.36,30547669.85
12/5/2018,31.23,31.31,29.17,29.20,779447.06,22757427.76
12/4/2018,31.20,32.23,30.78,31.29,709648.37,22203812.66
12/3/2018,33.79,33.79,30.43,31.20,958491.03,29903292.52
12/2/2018,34.01,34.69,33.51,33.73,548824.60,18512880.36
12/1/2018,32.05,34.68,31.57,34.04,662902.59,22563762.07
11/30/2018,33.70,34.07,31.37,32.04,803667.75,25748378.10
11/29/2018,34.62,35.34,33.18,33.69,897507.90,30236786.21
11/28/2018,30.86,35.72,30.78,34.57,1273740.58,44036961.77
11/27/2018,29.54,31.13,29.03,30.82,885136.74,27277323.49
11/26/2018,30.81,31.95,28.51,29.50,1417466.37,41808694.62
11/25/2018,29.11,31.68,27.05,30.94,1495176.07,46262670.86
11/24/2018,32.01,33.05,28.63,29.12,912381.94,26565105.76
11/23/2018,31.91,32.95,31.12,32.04,805803.99,25820433.87
11/22/2018,34.58,34.80,32.21,32.21,627053.92,20197405.02
11/21/2018,33.01,34.60,31.82,34.59,939926.74,32516358.14
11/20/2018,36.48,37.79,31.32,33.14,1773558.02,58782075.48
11/19/2018,42.19,42.19,35.59,36.58,1530681.98,55988984.95
11/18/2018,41.93,42.91,41.90,42.13,410634.90,17299083.52
11/17/2018,42.14,42.17,41.61,41.93,388422.16,16286156.48
11/16/2018,43.96,44.00,41.81,42.09,620363.39,26109617.44
11/15/2018,43.56,44.24,40.45,43.95,1164860.54,51191083.43
11/14/2018,49.46,50.38,41.66,43.34,1319806.62,57204057.39
11/13/2018,50.62,50.72,49.13,49.51,414545.30,20524378.21
11/12/2018,51.16,51.53,50.38,50.64,382406.18,19363979.59
11/11/2018,52.16,52.18,50.14,51.38,388500.62,19960932.40
11/10/2018,51.92,52.50,51.76,52.13,265313.24,13829590.45
11/9/2018,52.30,52.66,51.44,51.96,388216.61,20172776.31
11/8/2018,54.02,54.52,52.17,52.22,427231.36,22308385.90
11/7/2018,55.88,56.30,53.60,53.99,485188.09,26193409.75
11/6/2018,53.58,55.86,53.57,55.86,503288.78,28114976.38
11/5/2018,54.33,54.92,53.07,53.54,530479.29,28404445.78
11/4/2018,51.11,55.58,50.96,54.19,648473.13,35138372.29
11/3/2018,51.37,51.55,50.63,51.16,316315.38,16182378.84
11/2/2018,50.21,51.72,50.20,51.47,365417.57,18807535.57
11/1/2018,49.67,50.39,49.64,50.24,322704.84,16212959.81
10/31/2018,49.38,50.17,48.05,49.55,447272.87,22163668.72
10/30/2018,48.70,49.59,48.70,49.52,375064.58,18574111.23
