Date,Open,High,Low,Close,volume,market cap (USD)
1/25/2019,0.32,0.32,0.31,0.32,56749062.46,18001476.82
1/24/2019,0.32,0.32,0.31,0.32,57349946.01,18120325.31
1/23/2019,0.32,0.32,0.31,0.32,51498367.26,16312498.28
1/22/2019,0.32,0.32,0.31,0.32,65932377.14,21073882.25
1/21/2019,0.32,0.32,0.32,0.32,46482559.13,14896766.08
1/20/2019,0.33,0.33,0.32,0.32,63595495.92,20463511.25
1/19/2019,0.32,0.33,0.32,0.33,68925478.77,22954371.96
1/18/2019,0.33,0.33,0.32,0.32,55283375.06,17872205.85
1/17/2019,0.33,0.33,0.32,0.33,59477334.33,19564493.92
1/16/2019,0.33,0.33,0.33,0.33,73195344.95,23950158.48
1/15/2019,0.34,0.34,0.32,0.33,77403039.43,25306508.27
1/14/2019,0.32,0.34,0.32,0.34,97084153.46,32564981.40
1/13/2019,0.33,0.34,0.31,0.32,74772701.68,23735545.18
1/12/2019,0.34,0.34,0.33,0.33,55617725.88,18573470.31
1/11/2019,0.33,0.34,0.33,0.34,77088298.83,25858014.54
1/10/2019,0.37,0.38,0.33,0.33,197020805.40,65635674.31
1/9/2019,0.37,0.37,0.36,0.37,93058027.69,34592342.22
1/8/2019,0.37,0.37,0.36,0.37,84015158.29,30680425.55
1/7/2019,0.37,0.38,0.36,0.37,69320444.56,25404014.10
1/6/2019,0.36,0.37,0.35,0.37,90945138.64,33568607.83
1/5/2019,0.36,0.37,0.35,0.36,85028672.41,30238582.94
1/4/2019,0.36,0.36,0.35,0.36,67990597.56,24603412.60
1/3/2019,0.38,0.38,0.36,0.36,78526998.78,28205051.72
1/2/2019,0.37,0.38,0.36,0.38,87285381.57,32875012.32
1/1/2019,0.36,0.37,0.35,0.37,76496282.12,27969592.57
12/31/2018,0.37,0.37,0.36,0.36,104048542.50,37094538.88
12/30/2018,0.37,0.37,0.36,0.37,86349455.98,32039581.28
12/29/2018,0.38,0.39,0.37,0.37,105980086.60,38910990.97
12/28/2018,0.34,0.38,0.34,0.38,126553785.50,47823383.23
12/27/2018,0.38,0.38,0.34,0.34,94373730.79,32031902.12
12/26/2018,0.38,0.39,0.37,0.38,106285095.40,40412663.46
12/25/2018,0.41,0.41,0.37,0.38,120589064.90,46130026.08
12/24/2018,0.38,0.45,0.38,0.41,246947034.00,100674583.20
12/23/2018,0.36,0.38,0.36,0.38,93616999.39,35131429.28
12/22/2018,0.36,0.36,0.35,0.36,84350253.21,30703694.01
12/21/2018,0.38,0.39,0.36,0.36,125026504.10,45057845.23
12/20/2018,0.35,0.39,0.35,0.38,186648228.90,70997300.64
12/19/2018,0.35,0.39,0.35,0.36,202028116.40,71744262.94
12/18/2018,0.33,0.35,0.33,0.35,134000635.10,46872754.47
12/17/2018,0.29,0.34,0.29,0.33,143794602.70,47432140.88
12/16/2018,0.29,0.29,0.28,0.29,64119850.30,18499904.71
12/15/2018,0.29,0.29,0.28,0.29,68571341.19,19575175.82
12/14/2018,0.30,0.30,0.28,0.29,86741349.43,25060631.79
12/13/2018,0.31,0.31,0.30,0.30,75621958.12,22769304.05
12/12/2018,0.30,0.31,0.30,0.31,74241285.27,22773080.14
12/11/2018,0.30,0.31,0.29,0.30,80479343.72,23816234.12
12/10/2018,0.31,0.32,0.30,0.30,93172747.01,28105926.11
12/9/2018,0.31,0.32,0.30,0.31,77325490.36,24176878.14
12/8/2018,0.31,0.32,0.30,0.31,113254912.70,35092675.44
12/7/2018,0.31,0.31,0.29,0.31,184257621.90,56234562.46
12/6/2018,0.34,0.34,0.31,0.31,141577245.70,44113652.42
12/5/2018,0.36,0.36,0.34,0.34,107957114.60,36494514.26
12/4/2018,0.35,0.36,0.35,0.35,98316234.78,34880619.02
12/3/2018,0.37,0.37,0.35,0.35,112646117.80,39737265.15
12/2/2018,0.37,0.38,0.37,0.37,70522901.44,26057733.64
12/1/2018,0.37,0.38,0.36,0.37,75670674.60,28361703.18
11/30/2018,0.38,0.38,0.36,0.37,103588307.70,37815454.66
11/29/2018,0.39,0.39,0.37,0.38,134497046.30,51279367.50
11/28/2018,0.36,0.40,0.36,0.39,156051400.60,60966941.65
11/27/2018,0.36,0.37,0.35,0.36,133340229.00,48369218.36
11/26/2018,0.38,0.39,0.34,0.36,242888317.40,87283455.08
11/25/2018,0.37,0.38,0.32,0.38,481556069.30,181337576.80
11/24/2018,0.41,0.41,0.36,0.37,386798545.70,143487962.20
11/23/2018,0.42,0.42,0.39,0.41,370498172.30,150108700.20
11/22/2018,0.44,0.45,0.42,0.42,301909835.30,127212642.50
11/21/2018,0.43,0.46,0.41,0.44,377881619.70,168043005.10
11/20/2018,0.47,0.50,0.41,0.43,566594926.10,244235542.30
11/19/2018,0.51,0.51,0.47,0.47,437824369.90,207304764.40
11/18/2018,0.49,0.52,0.49,0.51,337923004.50,171735832.30
11/17/2018,0.47,0.49,0.46,0.49,308176084.00,150600481.30
11/16/2018,0.48,0.48,0.46,0.47,326625855.30,152891448.60
11/15/2018,0.47,0.48,0.42,0.48,436452498.80,210679819.80
11/14/2018,0.51,0.51,0.41,0.46,489890367.10,226962822.50
11/13/2018,0.51,0.52,0.50,0.51,339072486.30,171393796.60
11/12/2018,0.50,0.52,0.50,0.52,332028829.60,171071479.10
11/11/2018,0.50,0.51,0.49,0.50,287490905.30,144545700.90
11/10/2018,0.50,0.51,0.50,0.50,294699638.30,148155818.30
11/9/2018,0.49,0.51,0.49,0.50,331535095.50,164728343.70
11/8/2018,0.54,0.54,0.49,0.49,380137905.30,186384096.70
11/7/2018,0.55,0.55,0.52,0.53,341924995.50,182632752.70
11/6/2018,0.50,0.56,0.50,0.55,478492238.60,263042995.90
11/5/2018,0.47,0.50,0.46,0.50,358931075.40,178183548.30
11/4/2018,0.45,0.47,0.45,0.47,319557100.60,149169631.60
11/3/2018,0.46,0.46,0.45,0.45,277103348.60,125711395.90
11/2/2018,0.46,0.46,0.45,0.46,326474096.40,149091932.60
11/1/2018,0.45,0.46,0.45,0.46,302056890.30,137520769.50
10/31/2018,0.44,0.45,0.44,0.45,309711702.10,139694720.90
10/30/2018,0.44,0.45,0.44,0.44,296037178.30,131401604.70
10/29/2018,0.46,0.46,0.43,0.44,334025752.00,146966194.50
10/28/2018,0.45,0.46,0.45,0.46,284901858.80,130918167.00
10/27/2018,0.46,0.46,0.45,0.45,296275720.90,134554017.30
10/26/2018,0.46,0.46,0.45,0.46,303474563.20,139026229.40
10/25/2018,0.46,0.46,0.45,0.46,312247774.50,142424629.40
10/24/2018,0.46,0.47,0.45,0.45,275833574.70,125476382.40
10/23/2018,0.45,0.47,0.43,0.46,365261262.90,168208671.60
10/22/2018,0.45,0.46,0.45,0.45,299557661.90,134924232.40
10/21/2018,0.46,0.46,0.45,0.45,288085201.80,130799562.20
10/20/2018,0.45,0.46,0.45,0.46,292132882.50,133195772.80
10/19/2018,0.45,0.46,0.45,0.45,302178344.40,136156433.30
10/18/2018,0.47,0.47,0.44,0.45,321162824.10,146045243.20
10/17/2018,0.47,0.47,0.46,0.47,343824471.90,160618683.70
10/16/2018,0.45,0.47,0.44,0.47,344192959.70,160994761.40
10/15/2018,0.40,0.47,0.39,0.45,503623515.50,225885539.50
10/14/2018,0.41,0.42,0.40,0.40,321491450.50,127582317.50
10/13/2018,0.42,0.42,0.41,0.41,300704843.50,124719228.00
10/12/2018,0.38,0.44,0.38,0.42,418498946.70,174284983.50
10/11/2018,0.46,0.46,0.38,0.38,487528249.90,184981943.60
10/10/2018,0.48,0.48,0.46,0.46,311298226.50,143114630.10
10/9/2018,0.49,0.49,0.47,0.48,307213765.10,146928150.00
10/8/2018,0.48,0.50,0.48,0.49,336885176.00,164079964.50
10/7/2018,0.48,0.49,0.47,0.48,324230252.70,155334606.80
10/6/2018,0.52,0.52,0.47,0.48,382575894.60,185314369.10
10/5/2018,0.53,0.53,0.51,0.52,345685446.70,178753364.20
10/4/2018,0.53,0.54,0.52,0.53,330642178.00,174012349.40
10/3/2018,0.51,0.53,0.51,0.53,399835522.60,210331381.90
10/2/2018,0.58,0.58,0.52,0.52,394701039.50,203855383.70
10/1/2018,0.58,0.60,0.54,0.58,503220697.80,291249658.20
9/30/2018,0.57,0.62,0.56,0.58,454885541.40,263350566.10
9/29/2018,0.54,0.59,0.53,0.57,424331456.90,241151506.20
9/28/2018,0.54,0.55,0.52,0.54,390972067.00,210198745.30
9/27/2018,0.51,0.55,0.51,0.54,409101685.10,221904178.90
9/26/2018,0.52,0.57,0.49,0.51,670101620.20,344647795.70
9/25/2018,0.49,0.54,0.44,0.53,647626242.30,342148390.10
9/24/2018,0.57,0.58,0.48,0.49,463107492.20,228285273.70
9/23/2018,0.57,0.59,0.56,0.57,390121157.80,222972613.00
9/22/2018,0.56,0.62,0.49,0.57,644337206.80,369597129.20
9/21/2018,0.45,0.72,0.43,0.57,1235412757.00,700582180.30
9/20/2018,0.33,0.48,0.32,0.45,653964008.40,293486984.20
9/19/2018,0.32,0.33,0.31,0.33,401597322.10,130982921.30
9/18/2018,0.27,0.33,0.27,0.32,482464497.00,154833668.10
9/17/2018,0.28,0.28,0.27,0.27,345535647.80,93473921.26
9/16/2018,0.28,0.28,0.27,0.28,308069028.30,86342728.32
9/15/2018,0.28,0.28,0.28,0.28,303918912.30,85706927.40
9/14/2018,0.28,0.28,0.27,0.28,341032727.80,94391657.79
9/13/2018,0.27,0.28,0.27,0.28,350415606.70,97664107.88
9/12/2018,0.26,0.27,0.25,0.27,349672615.40,94278351.16
9/11/2018,0.27,0.27,0.25,0.26,370252095.60,97377680.32
9/10/2018,0.28,0.28,0.26,0.27,387484946.40,103848780.60
